"year"	"id"	"data"	"FFD_corr"	"FFD_action"	"grazing"	"shoot_vol"	"shoot_vol_action"	"cum_n_fl"	"cum_n_fl_action"	"n_fr"	"n_ovules"	"total_n_seeds"	"total_n_intact_seeds"	"FFD"	"FFD_imputed"
"210"	2006	204	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	2006	205	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	2006	206	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	2006	207	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	2006	208	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	2006	209	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	2006	210	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	2006	211	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	2006	212	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	2006	213	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	2006	214	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	2006	215	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	2006	216	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	2006	217	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	2006	219	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	2006	220	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	2006	221	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	2006	222	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	2006	223	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	2006	224	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	2006	225	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	2006	226	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	2006	227	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	2006	228	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	2006	229	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	2006	230	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	2006	231	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	2006	232	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	2006	233	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	2006	234	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	2006	235	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	2006	236	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"242"	2006	237	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	2006	238	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	2006	239	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	2006	240	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	2006	241	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	2006	242	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
